start time for measurements: Mon Aug 11 12:40:40 2025
current(A) time(s)
N/A 1.0052762031555176
-1.357134E-10 2.9740500450134277
-1.357153E-10 4.384069204330444
-1.357025E-10 6.39161229133606
-1.357169E-10 8.394354343414307
-1.357243E-10 10.39478087425232
-1.356970E-10 12.395133256912231
-1.357130E-10 14.404996156692505
-1.357306E-10 16.405441999435425
